Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-25,,SAS,L,100,129,40,85,.471,7,33,.212,13,18,.722,8,35,24,11,6,16,19,,47,98,.480,12,24,.500,23,26,.885,21,55,25,13,3,13,19
2,2,2016-10-28,@,NOP,W,122,114,44,91,.484,9,28,.321,25,28,.893,9,49,32,8,2,14,22,,47,100,.470,5,22,.227,15,23,.652,12,49,29,8,5,13,24
3,3,2016-10-30,@,PHO,W,106,100,35,83,.422,8,29,.276,28,33,.848,7,43,27,6,5,15,23,,37,90,.411,8,23,.348,18,25,.720,11,50,19,10,6,11,26
4,4,2016-11-01,@,POR,W,127,104,50,89,.562,10,26,.385,17,23,.739,7,45,36,14,4,16,19,,37,86,.430,14,39,.359,16,21,.762,6,32,23,12,4,18,17
5,5,2016-11-03,,OKC,W,122,96,46,89,.517,14,30,.467,16,20,.800,15,46,27,9,14,15,18,,35,87,.402,10,27,.370,16,28,.571,13,41,20,8,6,16,20
6,6,2016-11-04,@,LAL,L,97,117,39,86,.453,5,32,.156,14,20,.700,9,40,26,13,3,20,13,,45,95,.474,8,30,.267,19,21,.905,16,51,26,9,5,16,19
7,7,2016-11-07,,NOP,W,116,106,45,90,.500,16,35,.457,10,12,.833,10,38,35,14,4,15,17,,39,80,.488,7,21,.333,21,27,.778,11,43,26,8,1,19,16
8,8,2016-11-09,,DAL,W,116,95,43,74,.581,17,33,.515,13,22,.591,5,39,33,3,5,15,22,,34,86,.395,6,28,.214,21,28,.750,13,42,20,10,2,7,20
9,9,2016-11-10,@,DEN,W,125,101,46,85,.541,14,30,.467,19,20,.950,9,44,33,15,6,15,18,,38,94,.404,13,36,.361,12,17,.706,17,44,26,7,3,18,18
10,10,2016-11-13,,PHO,W,133,120,45,87,.517,16,33,.485,27,31,.871,8,43,32,8,7,16,20,,46,90,.511,8,24,.333,20,26,.769,8,38,27,10,3,13,29
11,11,2016-11-16,@,TOR,W,127,121,44,87,.506,13,36,.361,26,28,.929,7,35,33,9,7,12,25,,37,82,.451,10,25,.400,37,41,.902,13,46,16,8,1,14,22
12,12,2016-11-18,@,BOS,W,104,88,44,90,.489,9,28,.321,7,12,.583,9,50,33,10,7,11,20,,31,83,.373,11,32,.344,15,19,.789,7,43,19,6,3,13,12
13,13,2016-11-19,@,MIL,W,124,121,42,95,.442,14,38,.368,26,32,.813,18,45,30,8,5,12,25,,46,89,.517,10,20,.500,19,25,.760,10,41,27,7,1,13,23
14,14,2016-11-21,@,IND,W,120,83,40,90,.444,13,36,.361,27,32,.844,12,60,31,9,10,12,17,,33,103,.320,6,23,.261,11,12,.917,15,49,13,5,4,11,23
15,15,2016-11-23,,LAL,W,149,106,53,86,.616,19,36,.528,24,35,.686,6,48,47,7,5,10,20,,40,93,.430,8,20,.400,18,22,.818,7,37,22,5,1,11,25
16,16,2016-11-25,@,LAL,W,109,85,43,83,.518,11,28,.393,12,17,.706,4,44,31,10,10,17,21,,32,90,.356,5,22,.227,16,23,.696,14,45,20,12,3,18,16
17,17,2016-11-26,,MIN,W,115,102,45,81,.556,11,22,.500,14,17,.824,12,45,25,9,8,18,14,,41,89,.461,10,35,.286,10,12,.833,8,32,22,8,3,13,15
18,18,2016-11-28,,ATL,W,105,100,37,85,.435,12,35,.343,19,24,.792,7,41,25,6,10,14,20,,36,86,.419,7,29,.241,21,30,.700,14,51,20,11,4,18,22
19,19,2016-12-01,,HOU,L,127,132,43,104,.413,12,44,.273,29,37,.784,13,54,31,12,7,17,27,,48,108,.444,14,44,.318,22,30,.733,15,56,26,11,4,19,28
20,20,2016-12-03,,PHO,W,138,109,49,78,.628,14,21,.667,26,34,.765,6,38,37,9,5,17,19,,41,91,.451,11,32,.344,16,21,.762,14,36,24,8,2,14,29
21,21,2016-12-05,,IND,W,142,106,54,104,.519,14,37,.378,20,26,.769,16,54,45,12,13,11,22,,35,85,.412,3,15,.200,33,35,.943,9,40,20,10,5,14,21
22,22,2016-12-07,@,LAC,W,115,98,42,89,.472,7,31,.226,24,29,.828,12,46,32,11,5,10,24,,36,92,.391,8,26,.308,18,24,.750,17,47,15,3,2,13,24
23,23,2016-12-08,@,UTA,W,106,99,39,80,.488,12,29,.414,16,23,.696,9,47,26,10,4,16,23,,37,89,.416,10,38,.263,15,21,.714,12,46,20,8,2,15,22
24,24,2016-12-10,@,MEM,L,89,110,34,77,.442,9,27,.333,12,20,.600,10,42,15,6,8,23,23,,38,87,.437,8,26,.308,26,29,.897,11,47,23,10,5,10,19
25,25,2016-12-11,@,MIN,W,116,108,38,83,.458,13,32,.406,27,30,.900,6,37,30,9,4,8,24,,36,81,.444,9,24,.375,27,36,.750,16,51,17,3,2,14,21
26,26,2016-12-13,@,NOP,W,113,109,42,95,.442,14,34,.412,15,19,.789,9,45,30,6,5,12,12,,39,82,.476,14,35,.400,17,21,.810,6,45,26,12,11,17,18
27,27,2016-12-15,,NYK,W,103,90,45,96,.469,9,32,.281,4,8,.500,15,57,41,7,10,17,17,,38,93,.409,5,21,.238,9,19,.474,14,49,19,10,5,11,10
28,28,2016-12-17,,POR,W,135,90,51,87,.586,14,28,.500,19,26,.731,9,56,36,7,5,15,16,,34,86,.395,8,28,.286,14,20,.700,7,31,16,7,4,11,19
29,29,2016-12-20,,UTA,W,104,74,40,90,.444,9,23,.391,15,17,.882,9,50,24,13,3,10,18,,27,76,.355,9,30,.300,11,20,.550,10,44,13,5,3,23,17
30,30,2016-12-22,@,BRK,W,117,101,47,104,.452,12,37,.324,11,14,.786,11,51,29,19,7,12,19,,38,86,.442,13,35,.371,12,16,.750,7,46,22,6,6,26,15
31,31,2016-12-23,@,DET,W,119,113,43,77,.558,11,27,.407,22,24,.917,4,41,35,9,2,22,21,,43,85,.506,10,29,.345,17,28,.607,5,36,22,12,3,13,22
32,32,2016-12-25,@,CLE,L,108,109,37,77,.481,9,30,.300,25,29,.862,5,42,25,8,4,19,24,,37,95,.389,12,35,.343,23,32,.719,18,44,20,14,2,12,19
33,33,2016-12-28,,TOR,W,121,111,46,81,.568,14,23,.609,15,18,.833,9,51,33,4,9,20,16,,40,103,.388,13,35,.371,18,22,.818,19,45,24,13,6,7,18
34,34,2016-12-30,,DAL,W,108,99,42,84,.500,11,33,.333,13,15,.867,4,43,31,5,4,13,12,,39,93,.419,8,32,.250,13,15,.867,11,40,22,11,7,10,12
35,35,2017-01-02,,DEN,W,127,119,50,95,.526,11,25,.440,16,21,.762,12,43,33,7,2,13,14,,48,101,.475,9,35,.257,14,18,.778,16,48,33,10,2,14,21
36,36,2017-01-04,,POR,W,125,117,44,87,.506,13,36,.361,24,29,.828,8,39,31,14,9,15,20,,40,89,.449,12,26,.462,25,28,.893,11,44,23,8,5,17,26
37,37,2017-01-06,,MEM,L,119,128,41,83,.494,8,30,.267,29,39,.744,7,44,23,7,5,16,21,,50,103,.485,13,33,.394,15,19,.789,14,47,29,13,0,12,28
38,38,2017-01-08,@,SAC,W,117,106,45,89,.506,10,29,.345,17,20,.850,13,46,33,11,6,17,22,,36,74,.486,11,28,.393,23,29,.793,1,31,21,13,5,18,17
39,39,2017-01-10,,MIA,W,107,95,39,86,.453,11,27,.407,18,22,.818,5,48,28,6,7,11,16,,38,90,.422,6,30,.200,13,17,.765,6,46,25,6,4,11,22
40,40,2017-01-12,,DET,W,127,107,50,89,.562,15,29,.517,12,18,.667,6,37,39,14,4,18,14,,43,88,.489,6,28,.214,15,20,.750,9,40,20,10,4,19,19
41,41,2017-01-16,,CLE,W,126,91,46,91,.505,15,34,.441,19,24,.792,11,58,37,10,11,16,22,,31,88,.352,9,34,.265,20,27,.741,7,35,11,7,4,15,21
42,42,2017-01-18,,OKC,W,121,100,46,85,.541,10,21,.476,19,27,.704,11,46,35,11,8,18,16,,38,90,.422,8,28,.286,16,19,.842,13,36,23,11,6,18,22
43,43,2017-01-20,@,HOU,W,125,108,47,89,.528,15,38,.395,16,21,.762,8,41,30,8,7,14,18,,43,96,.448,7,35,.200,15,18,.833,13,41,26,8,3,14,17
44,44,2017-01-22,@,ORL,W,118,98,42,89,.472,19,42,.452,15,19,.789,13,52,27,8,4,18,15,,42,96,.438,7,28,.250,7,16,.438,12,41,25,9,7,12,21
45,45,2017-01-23,@,MIA,L,102,105,41,88,.466,8,30,.267,12,20,.600,7,43,27,9,4,14,20,,38,86,.442,13,30,.433,16,27,.593,11,45,20,9,4,13,19
46,46,2017-01-25,@,CHO,W,113,103,39,82,.476,11,28,.393,24,27,.889,5,41,23,7,14,12,19,,38,92,.413,7,23,.304,20,21,.952,12,43,26,6,6,14,18
47,47,2017-01-28,,LAC,W,144,98,57,92,.620,17,34,.500,13,16,.813,9,48,35,9,7,11,17,,36,82,.439,12,28,.429,14,22,.636,8,32,24,7,2,14,18
48,48,2017-01-29,@,POR,W,113,111,36,79,.456,8,26,.308,33,39,.846,8,39,28,13,6,18,18,,46,93,.495,10,27,.370,9,12,.750,9,42,26,11,2,18,24
49,49,2017-02-01,,CHO,W,126,111,47,96,.490,21,48,.438,11,14,.786,9,47,35,9,13,10,18,,39,88,.443,9,31,.290,24,26,.923,6,45,33,4,3,10,14
50,50,2017-02-02,@,LAC,W,133,120,52,99,.525,14,34,.412,15,18,.833,15,46,38,10,2,11,26,,40,80,.500,10,25,.400,30,39,.769,9,37,24,7,7,15,18
51,51,2017-02-04,@,SAC,L,106,109,36,87,.414,15,44,.341,19,24,.792,7,40,22,10,10,17,17,,43,88,.489,7,23,.304,16,19,.842,8,54,25,11,4,16,18
52,52,2017-02-08,,CHI,W,123,92,48,85,.565,15,28,.536,12,13,.923,5,45,37,9,5,12,17,,37,92,.402,4,24,.167,14,19,.737,15,44,25,7,2,14,17
